Unnamed: 0,city,state,state_full,country,region,year,census_fips_code,census_population,census_latitude,census_longitude,residential_speed_limit,bna_id,bna_uuid,bna_people,bna_opportunity_employment,bna_opportunity_k12_education,bna_opportunity_technical_vocational_college,bna_opportunity_higher_education,bna_opportunity,bna_core_services_doctors,bna_core_services_dentists,bna_core_services_hospitals,bna_core_services_pharmacies,bna_core_services_grocery,bna_core_services_social_services,bna_core_services,bna_retail,bna_recreation_parks,bna_recreation_trails,bna_recreation_community_centers,bna_recreation,bna_transit,bna_overall_score,bna_rounded_score,bna_total_low_stress_miles,bna_total_high_stress_miles,pop_size,rank,rank_size,rank_state,rank_country,rank_country_size,creation_date,filename
9131,Columbia,MO,Missouri,United States,Midwest,2020,2915670,121230,38.9473,-92.3264,25,296149fe-5d0e-4ee4-ab8b-e1e548ad0bf2,0b8fc358-3e4d-44fd-8368-59f5cc9a7007,39.38,28.48,28.97,40.02,40.59,32.23,21.12,40.33,43.41,13.98,28.75,16.59,28.01,25.65,49.37,47.65,0.0,48.57,47.72,36.25,36,1081.0,365.0,medium,,,,,,2020-02-20T07:32:00Z,MO_Columbia_v20.1.csv
9132,Columbia,MO,Missouri,United States,Midwest,2021,2915670,122659,38.9473,-92.3264,25,296149fe-5d0e-4ee4-ab8b-e1e548ad0bf2,fb12b2d7-dfaa-46f3-b63c-4c7b05e7824e,39.39,28.18,28.99,40.04,40.62,32.14,21.15,40.29,43.8,14.03,28.57,16.61,28.06,25.76,50.04,47.62,0.0,48.91,47.85,36.33,36,1092.9,364.6,medium,,,,,,2021-02-25T23:01:00Z,MO_Columbia_v21.1.csv
9133,Columbia,MO,Missouri,United States,Midwest,2022,2915670,124342,38.9473,-92.3264,25,296149fe-5d0e-4ee4-ab8b-e1e548ad0bf2,f0702ab1-48f9-45dc-861e-3aed6c20b310,39.44,27.69,29.04,40.64,40.97,32.11,21.73,40.82,44.26,13.19,29.22,12.37,27.76,25.88,52.03,47.65,0.0,49.99,48.61,36.56,37,1104.8,366.1,medium,,,,,,2022-01-25T09:03:00Z,MO_Columbia_v22.1.csv
9134,Columbia,MO,Missouri,United States,Midwest,2023,2915670,126172,38.9473,-92.3264,25,296149fe-5d0e-4ee4-ab8b-e1e548ad0bf2,27795032-4c19-4b73-9466-87b1573a6212,39.35,28.19,29.52,40.3,41.53,32.53,22.45,23.07,43.8,13.16,28.66,12.37,25.89,25.98,52.87,47.47,0.0,50.35,48.61,36.33,36,1119.1,374.0,medium,,,,,,2023-04-02T21:44:00Z,MO_Columbia_v23.1.csv
9135,Columbia,MO,Missouri,United States,Midwest,2023,2915670,126172,38.9473,-92.3264,25,296149fe-5d0e-4ee4-ab8b-e1e548ad0bf2,e32e5c1e-72ce-4d1b-9a32-7467ac7448aa,38.86,27.92,29.38,40.3,41.53,32.39,21.11,23.07,34.6,11.54,27.34,12.37,23.29,25.22,53.1,47.47,0.0,50.47,48.58,35.61,36,1119.8,374.3,medium,,,,,,2023-08-24T10:17:00Z,MO_Columbia_v23.2.csv
9136,Columbia,MO,Missouri,United States,Midwest,2023,2915670,126172,38.9473,-92.3264,25,296149fe-5d0e-4ee4-ab8b-e1e548ad0bf2,24882ecf-dfbf-4eef-a36c-eec23648a8c2,38.72,28.07,29.41,40.3,41.56,32.46,21.11,25.42,34.6,12.29,32.29,12.15,24.81,25.96,53.51,47.51,0.0,50.71,48.58,36.05,36,1118.9,372.1,medium,,,,,,2023-12-07T14:19:00Z,MO_Columbia_v23.3.csv
9137,Columbia,MO,Missouri,United States,Midwest,2024,2915670,126172,38.9473,-92.3264,25,296149fe-5d0e-4ee4-ab8b-e1e548ad0bf2,14b557ed-19fb-4bf6-bab4-37a02ebf0b61,38.79,28.21,29.48,40.8,41.81,32.63,21.34,25.42,34.68,14.66,32.49,12.15,25.16,45.28,53.55,47.51,0.0,50.73,49.49,39.2,39,1118.4,373.5,medium,,,,,,2024-03-18T22:28:00Z,MO_Columbia_v24.1.csv
9138,Columbia,MO,Missouri,United States,Midwest,2025,2915670,127200,38.9472896,-92.3263872,25,296149fe-5d0e-4ee4-ab8b-e1e548ad0bf2,666bddf7-5e3b-4def-ad36-960f805877cb,39.3,30.31,32.51,29.85,43.43,33.66,30.19,29.91,36.95,20.2,35.6,10.83,28.96,47.54,57.8,56.85,29.58,50.41,42.06,39.42,39,1147.1,389.7,medium,,,,,,2025-03-24T23:15:26.968664Z,MO_Columbia_v25.1.csv
3431,Central City,CO,Colorado,United States,Mountain,2022,0812900,680,39.7954,-105.509,30,df866685-6784-4f95-bcab-8c9438c57630,f2b65b6c-fb24-4b11-a44c-5d8c7d4c5b69,35.61,7.21,0.0,0.0,0.0,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16,0.0,0.0,4.16,0.0,9.55,10,7.3,34.1,small,,,,,,2022-10-07T12:06:00Z,CO_Central City_v22.1.csv
3432,Central City,CO,Colorado,United States,Mountain,2023,0812900,655,39.7954,-105.509,30,df866685-6784-4f95-bcab-8c9438c57630,1dce7b76-ea70-47eb-96da-7a88f61d4470,35.61,7.21,0.0,0.0,0.0,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16,0.0,0.0,4.16,0.0,9.55,10,7.3,34.1,small,,,,,,2023-04-01T14:23:00Z,CO_Central City_v23.1.csv
3433,Central City,CO,Colorado,United States,Mountain,2023,0812900,655,39.7954,-105.509,30,df866685-6784-4f95-bcab-8c9438c57630,52d83e7d-14b6-4352-bcaf-f3c673d61c93,35.61,7.21,0.0,0.0,0.0,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16,0.0,0.0,4.16,0.0,9.55,10,7.3,34.1,small,,,,,,2023-08-19T07:54:00Z,CO_Central City_v23.2.csv
3434,Central City,CO,Colorado,United States,Mountain,2023,0812900,655,39.7954,-105.509,30,df866685-6784-4f95-bcab-8c9438c57630,002f5f3d-e6fe-4765-a7d3-1d07fec21539,35.61,7.21,0.0,0.0,0.0,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16,0.0,0.0,4.16,0.0,9.55,10,7.3,34.1,small,,,,,,2023-12-06T07:57:00Z,CO_Central City_v23.3.csv
3435,Central City,CO,Colorado,United States,Mountain,2024,0812900,655,39.7954,-105.509,30,df866685-6784-4f95-bcab-8c9438c57630,65b30778-8c21-41ff-aa76-5e4f8030d12d,35.61,7.21,0.0,0.0,0.0,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.48,4.16,0.0,0.0,4.16,0.0,11.13,11,7.3,34.1,small,,,,,,2024-03-10T14:49:00Z,CO_Central City_v24.1.csv
3436,Central City,CO,Colorado,United States,Mountain,2025,0812900,576,39.7953658,-105.5089645,30,df866685-6784-4f95-bcab-8c9438c57630,7e00bd6d-eaa5-4e7a-95fe-3c8f03427b3e,35.61,7.21,0.0,0.0,0.0,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.48,4.16,0.0,0.0,2.22,0.0,10.79,11,7.3,34.1,small,,,,,,2025-03-15T13:52:43.092106Z,CO_Central City_v25.1.csv
1803,Calimesa,CA,California,United States,Pacific,2025,0609864,10680,33.9873574,-117.0542141,25,d755b6e8-6dee-4cae-9ce8-3662be60f776,41430704-c565-47a3-b97a-0b9950be7d87,42.71,32.8,33.29,0.0,0.0,33.05,0.0,2.63,0.0,1.25,9.26,0.0,6.01,32.92,31.79,100.0,0.0,63.62,0.0,33.76,34,125.4,38.7,small,,,,,,2025-03-13T18:52:46.943757Z,CA_Calimesa_v25.1.csv
3132,Temecula,CA,California,United States,Pacific,2021,0678120,113117,33.4931,-117.1317,25,a18348b9-fcbd-46de-975c-ee74119519c3,7eaf136b-9a57-435d-8591-483de5610b5a,26.18,18.2,38.6,11.53,13.89,23.81,16.36,11.57,12.23,15.08,21.3,0.0,16.13,26.25,65.61,31.5,21.25,42.58,0.79,22.36,22,562.3,256.2,medium,,,,,,2021-07-15T08:54:00Z,CA_Temecula_v21.1.csv
3133,Temecula,CA,California,United States,Pacific,2022,0678120,109376,33.4931,-117.1317,25,a18348b9-fcbd-46de-975c-ee74119519c3,2519af81-b920-4707-bed6-8e56d93bcc74,26.24,18.2,38.6,11.53,13.89,23.81,16.36,11.57,12.23,15.08,21.3,0.0,16.13,26.25,65.58,31.5,21.28,42.58,0.79,22.37,22,576.7,255.9,medium,,,,,,2022-01-22T12:26:00Z,CA_Temecula_v22.1.csv
3134,Temecula,CA,California,United States,Pacific,2022,0678120,109376,33.4931,-117.1317,25,a18348b9-fcbd-46de-975c-ee74119519c3,9b43f089-2932-45da-b924-613e643ca7f2,26.24,18.2,38.6,11.53,13.89,23.81,15.48,11.57,12.23,15.08,21.3,0.0,15.92,26.25,65.58,31.5,21.28,42.58,0.79,22.33,22,576.7,255.9,medium,,,,,,2022-01-22T13:18:00Z,CA_Temecula_v22.2.csv
3135,Temecula,CA,California,United States,Pacific,2022,0678120,109376,33.4931,-117.1317,25,a18348b9-fcbd-46de-975c-ee74119519c3,bb290e88-d405-45d8-b604-6eb5e3a0e65c,26.24,18.2,38.6,15.83,13.89,24.24,15.48,11.57,12.23,15.08,21.3,0.0,15.92,26.25,65.62,31.5,21.28,42.59,0.79,22.41,22,577.2,256.8,medium,,,,,,2022-06-10T06:51:00Z,CA_Temecula_v22.3.csv
3136,Temecula,CA,California,United States,Pacific,2023,0678120,110114,33.4931,-117.1317,25,a18348b9-fcbd-46de-975c-ee74119519c3,fb09d896-e363-4be0-9c4c-255acd0e2279,26.65,17.24,36.93,15.83,15.77,23.7,13.78,12.42,12.23,15.15,21.79,26.54,17.39,26.62,65.88,32.83,25.36,44.18,0.79,22.95,23,594.4,249.7,medium,,,,,,2023-04-01T07:31:00Z,CA_Temecula_v23.1.csv
3137,Temecula,CA,California,United States,Pacific,2023,0678120,110114,33.4931,-117.1317,25,a18348b9-fcbd-46de-975c-ee74119519c3,42cf1436-f053-44bd-9859-550ea313ec95,26.62,17.23,36.88,15.83,15.77,23.68,13.78,12.42,12.23,15.15,21.79,26.54,17.39,26.54,65.95,32.83,25.19,44.17,0.79,22.93,23,597.8,249.8,medium,,,,,,2023-08-19T08:11:00Z,CA_Temecula_v23.2.csv
3138,Temecula,CA,California,United States,Pacific,2023,0678120,110114,33.4931,-117.1317,25,a18348b9-fcbd-46de-975c-ee74119519c3,ae7bcb6d-69cc-4ece-9acb-c64730079869,24.85,16.43,35.94,15.83,15.77,23.07,13.59,12.42,12.23,13.94,20.5,26.54,16.91,25.14,65.55,32.83,24.15,43.75,0.79,22.18,22,592.0,250.7,medium,,,,,,2023-12-04T14:42:00Z,CA_Temecula_v23.3.csv
3139,Temecula,CA,California,United States,Pacific,2024,0678120,110114,33.4931,-117.1317,25,a18348b9-fcbd-46de-975c-ee74119519c3,a79deacf-525f-4b3c-800b-0dd9b8d66b33,23.99,15.97,38.78,15.83,15.77,23.9,13.15,12.42,12.23,15.63,18.69,20.81,15.68,24.6,66.11,26.82,24.42,41.94,0.79,21.61,22,594.9,250.6,medium,,,,,,2024-03-05T17:23:00Z,CA_Temecula_v24.1.csv
3140,Temecula,CA,California,United States,Pacific,2025,0678120,110404,33.4930728,-117.1317341,25,a18348b9-fcbd-46de-975c-ee74119519c3,96a55ca7-2c80-42ad-acd3-92e7917ffd6d,24.16,16.32,40.1,15.83,15.77,24.48,16.74,15.57,2.75,15.6,20.46,18.59,14.92,25.49,66.34,26.86,24.5,42.06,0.79,21.76,22,606.4,250.7,medium,,,,,,2025-03-13T18:52:43.796763Z,CA_Temecula_v25.1.csv
5651,Waipahu,HI,Hawaii,United States,Pacific,2022,1579700,39927,21.3849,-158.011,25,8fbe8758-1dc7-4da1-8926-34a6baf5858a,7e354518-6652-4685-a9ab-bf385f184683,14.92,13.4,17.15,6.04,0.0,14.12,0.0,0.0,3.04,9.95,21.36,10.44,10.64,0.67,16.71,0.0,5.61,12.44,18.48,11.93,12,70.4,33.0,small,,,,,,2022-02-01T17:08:00Z,HI_Waipahu_v22.1.csv
5652,Waipahu,HI,Hawaii,United States,Pacific,2023,1579700,39873,21.3849,-158.011,25,8fbe8758-1dc7-4da1-8926-34a6baf5858a,d106416f-849b-4b60-812c-a9633faa1b91,14.92,13.59,17.15,6.04,0.0,14.2,0.0,0.67,2.13,9.95,21.36,10.44,10.49,0.67,16.26,7.39,5.61,10.49,15.99,11.25,11,70.5,33.0,small,,,,,,2023-04-01T19:05:00Z,HI_Waipahu_v23.1.csv
5653,Waipahu,HI,Hawaii,United States,Pacific,2023,1579700,39873,21.3849,-158.011,25,8fbe8758-1dc7-4da1-8926-34a6baf5858a,5b6a2e81-ed02-4052-9428-b392c09d153d,15.14,13.66,17.57,6.04,0.0,14.42,0.0,0.67,2.13,9.95,21.36,11.45,10.68,0.67,18.53,7.45,6.02,11.52,22.45,12.49,12,70.5,33.0,small,,,,,,2023-08-21T10:59:00Z,HI_Waipahu_v23.2.csv
5654,Waipahu,HI,Hawaii,United States,Pacific,2023,1579700,39873,21.3849,-158.011,25,8fbe8758-1dc7-4da1-8926-34a6baf5858a,8685dc55-b4aa-4977-b9ef-268b5deb872e,15.63,14.34,18.59,6.04,0.0,15.16,0.0,0.67,2.13,9.95,26.07,11.45,12.15,0.67,18.93,10.41,6.13,12.75,12.63,11.71,12,70.4,33.0,small,,,,,,2023-12-06T14:50:00Z,HI_Waipahu_v23.3.csv
5655,Waipahu,HI,Hawaii,United States,Pacific,2024,1579700,39873,21.3849,-158.011,25,8fbe8758-1dc7-4da1-8926-34a6baf5858a,ee2c925a-a9cd-4bde-8beb-9b3868c5d4b8,15.63,14.34,18.59,6.04,0.0,15.16,0.0,0.67,2.13,9.95,26.07,8.02,9.21,6.22,18.93,10.41,6.13,12.75,12.06,11.87,12,70.4,33.0,small,,,,,,2024-03-12T09:13:00Z,HI_Waipahu_v24.1.csv
5656,Waipahu,HI,Hawaii,United States,Pacific,2025,1579700,39871,21.3849378,-158.0109928,25,8fbe8758-1dc7-4da1-8926-34a6baf5858a,a6c23082-a0fc-460b-87a7-bf2d6a8fa6d7,17.35,15.43,27.38,6.92,0.0,19.59,0.0,8.85,2.09,17.2,36.44,8.46,13.4,32.7,37.1,12.08,6.83,20.78,14.77,19.44,19,71.9,30.8,small,,,,,,2025-03-26T18:51:33.678130Z,HI_Waipahu_v25.1.csv
11524,Bartlesville,OK,Oklahoma,United States,South,2021,4004450,36495,36.7377,-95.9485,25,5180283b-f201-49af-9e7a-a6fc243ef2df,a9282493-85d7-4262-8a20-10eec8be2576,41.88,21.52,36.87,14.3,0.0,27.33,7.52,2.75,7.47,0.0,9.45,0.0,7.51,0.0,22.23,21.02,0.0,21.67,0.0,23.57,24,420.5,111.3,small,,,,,,2021-07-15T08:54:00Z,OK_Bartlesville_v21.1.csv
11525,Bartlesville,OK,Oklahoma,United States,South,2022,4004450,37074,36.7377,-95.9485,25,5180283b-f201-49af-9e7a-a6fc243ef2df,8569094d-b182-40a2-995a-8219c4a8fcfc,41.88,21.52,36.87,14.3,0.0,27.33,7.52,2.75,7.47,0.0,9.45,0.0,7.51,0.0,22.13,21.02,0.0,21.61,0.0,23.56,24,420.7,111.3,small,,,,,,2022-01-24T08:34:00Z,OK_Bartlesville_v22.1.csv
11526,Bartlesville,OK,Oklahoma,United States,South,2023,4004450,37314,36.7377,-95.9485,25,5180283b-f201-49af-9e7a-a6fc243ef2df,48ee9912-28fe-4582-8c4d-23c2ec9e19ac,42.13,22.93,37.01,14.32,0.0,28.01,7.52,2.75,7.47,0.0,9.45,0.0,7.51,0.0,25.36,13.78,0.0,19.96,0.0,23.45,23,424.1,111.1,small,,,,,,2023-04-03T10:46:00Z,OK_Bartlesville_v23.1.csv
11527,Bartlesville,OK,Oklahoma,United States,South,2023,4004450,37314,36.7377,-95.9485,25,5180283b-f201-49af-9e7a-a6fc243ef2df,66e766ad-82aa-4b1a-865f-9af40886866a,42.13,22.92,37.01,14.32,0.0,28.01,7.52,2.75,7.47,0.0,9.45,0.0,7.51,0.0,25.36,13.75,0.0,19.94,0.0,23.45,23,424.3,111.1,small,,,,,,2023-08-27T14:08:00Z,OK_Bartlesville_v23.2.csv
11528,Bartlesville,OK,Oklahoma,United States,South,2023,4004450,37314,36.7377,-95.9485,25,5180283b-f201-49af-9e7a-a6fc243ef2df,201e3ed8-cdc8-4d0a-ac48-43f34bba6157,42.13,22.92,35.51,13.99,0.0,27.31,7.52,2.75,7.47,0.0,9.45,0.0,7.51,16.5,26.07,13.75,0.0,20.32,0.0,22.13,22,424.3,111.1,small,,,,,,2023-12-06T11:22:00Z,OK_Bartlesville_v23.3.csv
11529,Bartlesville,OK,Oklahoma,United States,South,2024,4004450,37314,36.7377,-95.9485,25,5180283b-f201-49af-9e7a-a6fc243ef2df,c222a999-3b81-43f4-b8ff-1edf62492c02,42.13,22.9,35.5,13.99,0.0,27.3,7.52,2.75,7.47,4.87,9.45,0.0,7.2,20.25,26.09,13.75,0.0,20.33,0.0,22.71,23,423.5,111.1,small,,,,,,2024-03-12T16:06:00Z,OK_Bartlesville_v24.1.csv
11530,Bartlesville,OK,Oklahoma,United States,South,2025,4004450,37559,36.7376675,-95.948454,25,5180283b-f201-49af-9e7a-a6fc243ef2df,b33f8354-dfce-4a16-ab27-22297226e01f,40.67,26.46,33.82,13.99,0.0,28.12,5.2,2.75,7.47,2.77,9.45,0.0,6.41,30.42,27.51,12.15,0.0,20.34,0.0,24.26,24,413.8,122.2,small,,,,,,2025-03-22T03:04:35.389279Z,OK_Bartlesville_v25.1.csv
12662,Chattanooga,TN,Tennessee,United States,South,2017,4714000,175462,35.066,-85.2484,25,4ccfcf6b-17c9-4006-b1cd-7e2829d85d54,8f58f058-7bd5-4e1d-97ee-377890e10eba,37.29,24.01,36.11,5.14,16.88,24.93,15.76,21.63,14.19,12.55,26.5,0.0,18.86,28.38,28.95,18.9,0.0,24.26,1.71,22.78,23,0.0,0.0,medium,,,,,,2017-04-29T06:58:00Z,TN_Chattanooga_v17.1.csv
12663,Chattanooga,TN,Tennessee,United States,South,2017,4714000,175462,35.066,-85.2484,25,4ccfcf6b-17c9-4006-b1cd-7e2829d85d54,4fe2fcac-f557-4505-9b42-7c01d6b30ffd,36.83,24.12,35.8,5.14,10.28,23.54,10.69,22.41,14.44,13.0,26.0,0.0,17.73,25.76,30.11,23.93,0.0,27.23,1.71,21.98,22,2135.8,604.1,medium,,,,,,2017-07-18T11:17:00Z,TN_Chattanooga_v17.2.csv
12664,Chattanooga,TN,Tennessee,United States,South,2018,4714000,176291,35.066,-85.2484,25,4ccfcf6b-17c9-4006-b1cd-7e2829d85d54,49cdb0fe-00b3-4ca1-b0d9-31e93c202185,36.88,24.09,35.95,5.14,10.28,23.58,10.69,22.91,13.39,13.25,27.18,0.0,17.91,25.86,31.27,20.84,6.78,21.5,1.71,21.19,21,2132.3,604.3,medium,,,,,,2018-01-29T07:56:00Z,TN_Chattanooga_v18.1.csv
12665,Chattanooga,TN,Tennessee,United States,South,2019,4714000,177365,35.066,-85.2484,25,4ccfcf6b-17c9-4006-b1cd-7e2829d85d54,a2cb3e9f-4a8a-4ac8-b12a-53bd5c792fbc,37.1,24.19,36.14,5.14,11.75,23.98,9.25,20.36,14.38,12.72,25.72,14.49,16.64,23.74,33.84,20.46,5.65,22.11,1.1,20.73,21,2137.8,606.8,medium,,,,,,2019-02-14T21:43:00Z,TN_Chattanooga_v19.1.csv
12666,Chattanooga,TN,Tennessee,United States,South,2020,4714000,179690,35.066,-85.2484,25,4ccfcf6b-17c9-4006-b1cd-7e2829d85d54,eb38ad18-ffbf-45eb-bf01-931deb98c1dc,37.12,24.75,32.87,4.47,10.96,22.81,8.75,17.74,13.89,19.32,23.52,12.13,15.93,20.72,40.66,19.98,7.08,25.03,1.11,20.35,20,2178.4,613.9,medium,,,,,,2020-02-19T08:36:00Z,TN_Chattanooga_v20.1.csv
12667,Chattanooga,TN,Tennessee,United States,South,2021,4714000,181370,35.066,-85.2484,25,4ccfcf6b-17c9-4006-b1cd-7e2829d85d54,d7c5d8df-4b3c-4734-84e5-c364fd626cf3,37.01,24.44,33.57,4.47,12.48,23.25,9.21,16.59,11.8,16.0,26.54,9.34,15.5,15.49,41.08,20.12,7.08,25.24,1.34,19.61,20,2175.5,620.3,medium,,,,,,2021-02-26T16:33:00Z,TN_Chattanooga_v21.1.csv
12668,Chattanooga,TN,Tennessee,United States,South,2022,4714000,180353,35.066,-85.2484,25,4ccfcf6b-17c9-4006-b1cd-7e2829d85d54,7b138125-e81c-4b00-b1ad-11ed620685cd,37.43,24.95,33.84,5.63,12.5,23.64,7.0,17.07,11.81,18.33,25.28,10.43,15.19,14.89,42.29,20.79,7.35,26.03,1.98,19.82,20,2165.5,623.1,medium,,,,,,2022-01-24T10:17:00Z,TN_Chattanooga_v22.1.csv
12669,Chattanooga,TN,Tennessee,United States,South,2023,4714000,181288,35.066,-85.2484,25,4ccfcf6b-17c9-4006-b1cd-7e2829d85d54,c1235fcf-82c6-4cf9-bd18-4a457b4f0a13,32.2,21.52,29.86,5.25,21.0,22.71,12.47,15.03,14.5,15.96,20.27,10.03,15.07,16.27,39.92,25.43,9.15,27.16,9.4,20.31,20,2159.4,682.7,medium,,,,,,2023-04-02T22:26:00Z,TN_Chattanooga_v23.1.csv
12670,Chattanooga,TN,Tennessee,United States,South,2023,4714000,181288,35.066,-85.2484,25,4ccfcf6b-17c9-4006-b1cd-7e2829d85d54,0724c17a-750b-4db4-af45-68b8103eec77,31.87,21.28,29.32,5.25,20.78,22.39,12.81,14.69,14.33,15.93,19.85,10.03,14.96,16.27,40.21,27.51,7.19,27.51,11.71,20.57,21,2156.5,683.9,medium,,,,,,2023-08-19T08:30:00Z,TN_Chattanooga_v23.2.csv
12671,Chattanooga,TN,Tennessee,United States,South,2023,4714000,181288,35.066,-85.2484,25,4ccfcf6b-17c9-4006-b1cd-7e2829d85d54,8fd7642f-4a31-4a13-95c8-f1ea1aa263ba,31.71,21.19,29.14,5.25,19.66,22.07,12.54,14.69,14.63,15.93,20.55,9.75,15.1,15.31,40.51,27.83,7.19,27.74,11.71,20.4,20,2150.4,683.4,medium,,,,,,2023-12-06T08:32:00Z,TN_Chattanooga_v23.3.csv
